Sexo;Municipios;Edad (grupos quinquenales);Total
Ambos sexos;Total;Total;86.487
Ambos sexos;Total;0-4;6.725
Ambos sexos;Total;5-9;6.913
Ambos sexos;Total;10-14;6.089
Ambos sexos;Total;15-19;5.877
Ambos sexos;Total;20-24;6.033
Ambos sexos;Total;25-29;5.915
Ambos sexos;Total;30-34;5.933
Ambos sexos;Total;35-39;6.472
Ambos sexos;Total;40-44;6.205
Ambos sexos;Total;45-49;5.809
Ambos sexos;Total;50-54;5.818
Ambos sexos;Total;55-59;5.375
Ambos sexos;Total;60-64;4.447
Ambos sexos;Total;65-69;2.910
Ambos sexos;Total;70-74;2.025
Ambos sexos;Total;75-79;1.607
Ambos sexos;Total;80-84;1.247
Ambos sexos;Total;85-89;710
Ambos sexos;Total;90-94;302
Ambos sexos;Total;95-99;64
Ambos sexos;Total;100 y más;11
Ambos sexos;Melilla;Total;86.487
Ambos sexos;Melilla;0-4;6.725
Ambos sexos;Melilla;5-9;6.913
Ambos sexos;Melilla;10-14;6.089
Ambos sexos;Melilla;15-19;5.877
Ambos sexos;Melilla;20-24;6.033
Ambos sexos;Melilla;25-29;5.915
Ambos sexos;Melilla;30-34;5.933
Ambos sexos;Melilla;35-39;6.472
Ambos sexos;Melilla;40-44;6.205
Ambos sexos;Melilla;45-49;5.809
Ambos sexos;Melilla;50-54;5.818
Ambos sexos;Melilla;55-59;5.375
Ambos sexos;Melilla;60-64;4.447
Ambos sexos;Melilla;65-69;2.910
Ambos sexos;Melilla;70-74;2.025
Ambos sexos;Melilla;75-79;1.607
Ambos sexos;Melilla;80-84;1.247
Ambos sexos;Melilla;85-89;710
Ambos sexos;Melilla;90-94;302
Ambos sexos;Melilla;95-99;64
Ambos sexos;Melilla;100 y más;11
Hombres;Total;Total;43.894
Hombres;Total;0-4;3.481
Hombres;Total;5-9;3.570
Hombres;Total;10-14;3.100
Hombres;Total;15-19;3.001
Hombres;Total;20-24;3.126
Hombres;Total;25-29;3.013
Hombres;Total;30-34;2.936
Hombres;Total;35-39;3.250
Hombres;Total;40-44;3.234
Hombres;Total;45-49;2.988
Hombres;Total;50-54;3.021
Hombres;Total;55-59;2.872
Hombres;Total;60-64;2.370
Hombres;Total;65-69;1.493
Hombres;Total;70-74;968
Hombres;Total;75-79;684
Hombres;Total;80-84;454
Hombres;Total;85-89;231
Hombres;Total;90-94;87
Hombres;Total;95-99;11
Hombres;Total;100 y más;4
Hombres;Melilla;Total;43.894
Hombres;Melilla;0-4;3.481
Hombres;Melilla;5-9;3.570
Hombres;Melilla;10-14;3.100
Hombres;Melilla;15-19;3.001
Hombres;Melilla;20-24;3.126
Hombres;Melilla;25-29;3.013
Hombres;Melilla;30-34;2.936
Hombres;Melilla;35-39;3.250
Hombres;Melilla;40-44;3.234
Hombres;Melilla;45-49;2.988
Hombres;Melilla;50-54;3.021
Hombres;Melilla;55-59;2.872
Hombres;Melilla;60-64;2.370
Hombres;Melilla;65-69;1.493
Hombres;Melilla;70-74;968
Hombres;Melilla;75-79;684
Hombres;Melilla;80-84;454
Hombres;Melilla;85-89;231
Hombres;Melilla;90-94;87
Hombres;Melilla;95-99;11
Hombres;Melilla;100 y más;4
Mujeres;Total;Total;42.593
Mujeres;Total;0-4;3.244
Mujeres;Total;5-9;3.343
Mujeres;Total;10-14;2.989
Mujeres;Total;15-19;2.876
Mujeres;Total;20-24;2.907
Mujeres;Total;25-29;2.902
Mujeres;Total;30-34;2.997
Mujeres;Total;35-39;3.222
Mujeres;Total;40-44;2.971
Mujeres;Total;45-49;2.821
Mujeres;Total;50-54;2.797
Mujeres;Total;55-59;2.503
Mujeres;Total;60-64;2.077
Mujeres;Total;65-69;1.417
Mujeres;Total;70-74;1.057
Mujeres;Total;75-79;923
Mujeres;Total;80-84;793
Mujeres;Total;85-89;479
Mujeres;Total;90-94;215
Mujeres;Total;95-99;53
Mujeres;Total;100 y más;7
Mujeres;Melilla;Total;42.593
Mujeres;Melilla;0-4;3.244
Mujeres;Melilla;5-9;3.343
Mujeres;Melilla;10-14;2.989
Mujeres;Melilla;15-19;2.876
Mujeres;Melilla;20-24;2.907
Mujeres;Melilla;25-29;2.902
Mujeres;Melilla;30-34;2.997
Mujeres;Melilla;35-39;3.222
Mujeres;Melilla;40-44;2.971
Mujeres;Melilla;45-49;2.821
Mujeres;Melilla;50-54;2.797
Mujeres;Melilla;55-59;2.503
Mujeres;Melilla;60-64;2.077
Mujeres;Melilla;65-69;1.417
Mujeres;Melilla;70-74;1.057
Mujeres;Melilla;75-79;923
Mujeres;Melilla;80-84;793
Mujeres;Melilla;85-89;479
Mujeres;Melilla;90-94;215
Mujeres;Melilla;95-99;53
Mujeres;Melilla;100 y más;7
