Municipios;Sexo;Periodo;Total
36 Pontevedra;Total;2020;945.408
36 Pontevedra;Total;2019;942.665
36 Pontevedra;Total;2018;941.772
36 Pontevedra;Total;2017;942.731
36 Pontevedra;Total;2016;944.346
36 Pontevedra;Total;2015;947.374
36 Pontevedra;Total;2014;950.919
36 Pontevedra;Total;2013;955.050
36 Pontevedra;Total;2012;958.428
36 Pontevedra;Total;2011;963.511
36 Pontevedra;Total;2010;962.472
36 Pontevedra;Total;2009;959.764
36 Pontevedra;Total;2008;953.400
36 Pontevedra;Total;2007;947.639
36 Pontevedra;Total;2006;943.117
36 Pontevedra;Total;2005;938.311
36 Pontevedra;Total;2004;930.931
36 Pontevedra;Total;2003;927.555
36 Pontevedra;Total;2002;919.934
36 Pontevedra;Total;2001;916.176
36 Pontevedra;Total;2000;912.621
36 Pontevedra;Total;1999;908.803
36 Pontevedra;Total;1998;906.298
36 Pontevedra;Total;1997;""
36 Pontevedra;Total;1996;915.104
36 Pontevedra;Hombres;2020;456.452
36 Pontevedra;Hombres;2019;455.286
36 Pontevedra;Hombres;2018;454.899
36 Pontevedra;Hombres;2017;455.617
36 Pontevedra;Hombres;2016;456.551
36 Pontevedra;Hombres;2015;458.114
36 Pontevedra;Hombres;2014;460.167
36 Pontevedra;Hombres;2013;462.605
36 Pontevedra;Hombres;2012;464.608
36 Pontevedra;Hombres;2011;466.691
36 Pontevedra;Hombres;2010;465.900
36 Pontevedra;Hombres;2009;464.365
36 Pontevedra;Hombres;2008;461.469
36 Pontevedra;Hombres;2007;458.359
36 Pontevedra;Hombres;2006;455.785
36 Pontevedra;Hombres;2005;453.103
36 Pontevedra;Hombres;2004;449.112
36 Pontevedra;Hombres;2003;446.839
36 Pontevedra;Hombres;2002;442.257
36 Pontevedra;Hombres;2001;439.888
36 Pontevedra;Hombres;2000;437.581
36 Pontevedra;Hombres;1999;435.557
36 Pontevedra;Hombres;1998;434.381
36 Pontevedra;Hombres;1997;""
36 Pontevedra;Hombres;1996;439.098
36 Pontevedra;Mujeres;2020;488.956
36 Pontevedra;Mujeres;2019;487.379
36 Pontevedra;Mujeres;2018;486.873
36 Pontevedra;Mujeres;2017;487.114
36 Pontevedra;Mujeres;2016;487.795
36 Pontevedra;Mujeres;2015;489.260
36 Pontevedra;Mujeres;2014;490.752
36 Pontevedra;Mujeres;2013;492.445
36 Pontevedra;Mujeres;2012;493.820
36 Pontevedra;Mujeres;2011;496.820
36 Pontevedra;Mujeres;2010;496.572
36 Pontevedra;Mujeres;2009;495.399
36 Pontevedra;Mujeres;2008;491.931
36 Pontevedra;Mujeres;2007;489.280
36 Pontevedra;Mujeres;2006;487.332
36 Pontevedra;Mujeres;2005;485.208
36 Pontevedra;Mujeres;2004;481.819
36 Pontevedra;Mujeres;2003;480.716
36 Pontevedra;Mujeres;2002;477.677
36 Pontevedra;Mujeres;2001;476.288
36 Pontevedra;Mujeres;2000;475.040
36 Pontevedra;Mujeres;1999;473.246
36 Pontevedra;Mujeres;1998;471.917
36 Pontevedra;Mujeres;1997;""
36 Pontevedra;Mujeres;1996;476.006
36020 Agolada;Total;2020;2.304
