Municipios;Sexo;Periodo;Total
36 Pontevedra;Total;2020;945408
36 Pontevedra;Hombres;2020;456452
36 Pontevedra;Mujeres;2020;488956
36020 Agolada;Total;2020;2304
36020 Agolada;Hombres;2020;1153
36020 Agolada;Mujeres;2020;1151
36001 Arbo;Total;2020;2576
36001 Arbo;Hombres;2020;1335
36001 Arbo;Mujeres;2020;1241
36003 Baiona;Total;2020;12129
36003 Baiona;Hombres;2020;5977
36003 Baiona;Mujeres;2020;6152
36002 Barro;Total;2020;3623
36002 Barro;Hombres;2020;1784
36002 Barro;Mujeres;2020;1839
36004 Bueu;Total;2020;11950
36004 Bueu;Hombres;2020;5878
36004 Bueu;Mujeres;2020;6072
36005 Caldas de Reis;Total;2020;9775
36005 Caldas de Reis;Hombres;2020;4699
36005 Caldas de Reis;Mujeres;2020;5076
36006 Cambados;Total;2020;13721
36006 Cambados;Hombres;2020;6630
36006 Cambados;Mujeres;2020;7091
36007 Campo Lameiro;Total;2020;1778
36007 Campo Lameiro;Hombres;2020;841
36007 Campo Lameiro;Mujeres;2020;937
36008 Cangas;Total;2020;26582
36008 Cangas;Hombres;2020;13195
36008 Cangas;Mujeres;2020;13387
36009 Cañiza, A;Total;2020;5122
36009 Cañiza, A;Hombres;2020;2510
36009 Cañiza, A;Mujeres;2020;2612
36010 Catoira;Total;2020;3331
36010 Catoira;Hombres;2020;1615
36010 Catoira;Mujeres;2020;1716
36011 Cerdedo;Total;2020;
36011 Cerdedo;Hombres;2020;
36011 Cerdedo;Mujeres;2020;
36902 Cerdedo-Cotobade;Total;2020;5697
36902 Cerdedo-Cotobade;Hombres;2020;2771
36902 Cerdedo-Cotobade;Mujeres;2020;2926
36012 Cotobade;Total;2020;
36012 Cotobade;Hombres;2020;
36012 Cotobade;Mujeres;2020;
36013 Covelo;Total;2020;2368
36013 Covelo;Hombres;2020;1198
36013 Covelo;Mujeres;2020;1170
36014 Crecente;Total;2020;1994
36014 Crecente;Hombres;2020;973
36014 Crecente;Mujeres;2020;1021
36015 Cuntis;Total;2020;4665
36015 Cuntis;Hombres;2020;2215
36015 Cuntis;Mujeres;2020;2450
36016 Dozón;Total;2020;1073
36016 Dozón;Hombres;2020;560
36016 Dozón;Mujeres;2020;513
36017 Estrada, A;Total;2020;20351
36017 Estrada, A;Hombres;2020;9771
36017 Estrada, A;Mujeres;2020;10580
36018 Forcarei;Total;2020;3308
36018 Forcarei;Hombres;2020;1569
36018 Forcarei;Mujeres;2020;1739
36019 Fornelos de Montes;Total;2020;1598
36019 Fornelos de Montes;Hombres;2020;768
36019 Fornelos de Montes;Mujeres;2020;830
36021 Gondomar;Total;2020;14702
36021 Gondomar;Hombres;2020;7303
36021 Gondomar;Mujeres;2020;7399
36022 Grove, O;Total;2020;10518
36022 Grove, O;Hombres;2020;5178
36022 Grove, O;Mujeres;2020;5340
36023 Guarda, A;Total;2020;10025
36023 Guarda, A;Hombres;2020;4901
36023 Guarda, A;Mujeres;2020;5124
36901 Illa de Arousa, A;Total;2020;4932
36901 Illa de Arousa, A;Hombres;2020;2449
36901 Illa de Arousa, A;Mujeres;2020;2483
36024 Lalín;Total;2020;20207
36024 Lalín;Hombres;2020;9864
36024 Lalín;Mujeres;2020;10343
36025 Lama, A;Total;2020;2397
36025 Lama, A;Hombres;2020;1192
36025 Lama, A;Mujeres;2020;1205
36026 Marín;Total;2020;24242
36026 Marín;Hombres;2020;12060
36026 Marín;Mujeres;2020;12182
36027 Meaño;Total;2020;5322
36027 Meaño;Hombres;2020;2593
36027 Meaño;Mujeres;2020;2729
36028 Meis;Total;2020;4754
36028 Meis;Hombres;2020;2270
36028 Meis;Mujeres;2020;2484
36029 Moaña;Total;2020;19452
36029 Moaña;Hombres;2020;9455
36029 Moaña;Mujeres;2020;9997
36030 Mondariz;Total;2020;4410
36030 Mondariz;Hombres;2020;2185
36030 Mondariz;Mujeres;2020;2225
36031 Mondariz-Balneario;Total;2020;637
36031 Mondariz-Balneario;Hombres;2020;324
36031 Mondariz-Balneario;Mujeres;2020;313
36032 Moraña;Total;2020;4147
36032 Moraña;Hombres;2020;2012
36032 Moraña;Mujeres;2020;2135
36033 Mos;Total;2020;15063
36033 Mos;Hombres;2020;7428
36033 Mos;Mujeres;2020;7635
36034 Neves, As;Total;2020;3803
36034 Neves, As;Hombres;2020;1838
