Municipios,Sexo,Periodo,Total
36 Pontevedra,Total,2020,945408
36020 Agolada,Total,2020,2304
36001 Arbo,Total,2020,2576
36003 Baiona,Total,2020,12129
36002 Barro,Total,2020,3623
36004 Bueu,Total,2020,11950
36005 Caldas de Reis,Total,2020,9775
36006 Cambados,Total,2020,13721
36007 Campo Lameiro,Total,2020,1778
36008 Cangas,Total,2020,26582
36010 Catoira,Total,2020,3331
36011 Cerdedo,Total,2020,
36902 Cerdedo-Cotobade,Total,2020,5697
36012 Cotobade,Total,2020,
36013 Covelo,Total,2020,2368
36014 Crecente,Total,2020,1994
36015 Cuntis,Total,2020,4665
36016 Dozón,Total,2020,1073
36018 Forcarei,Total,2020,3308
36019 Fornelos de Montes,Total,2020,1598
36021 Gondomar,Total,2020,14702
36024 Lalín,Total,2020,20207
36026 Marín,Total,2020,24242
36027 Meaño,Total,2020,5322
36028 Meis,Total,2020,4754
36029 Moaña,Total,2020,19452
36030 Mondariz,Total,2020,4410
36031 Mondariz-Balneario,Total,2020,637
36032 Moraña,Total,2020,4147
36033 Mos,Total,2020,15063
36035 Nigrán,Total,2020,17745
36036 Oia,Total,2020,3049
36037 Pazos de Borbén,Total,2020,2965
36041 Poio,Total,2020,17073
36043 Ponte Caldelas,Total,2020,5533
36042 Ponteareas,Total,2020,22940
36044 Pontecesures,Total,2020,3053
36038 Pontevedra,Total,2020,83260
36040 Portas,Total,2020,2906
36045 Redondela,Total,2020,29241
36046 Ribadumia,Total,2020,5105
36047 Rodeiro,Total,2020,2393
36049 Salceda de Caselas,Total,2020,9173
36050 Salvaterra de Miño,Total,2020,9990
36051 Sanxenxo,Total,2020,17414
36052 Silleda,Total,2020,8861
36053 Soutomaior,Total,2020,7426
36054 Tomiño,Total,2020,13566
36055 Tui,Total,2020,17323
36056 Valga,Total,2020,5824
36057 Vigo,Total,2020,296692
36059 Vila de Cruces,Total,2020,5208
36058 Vilaboa,Total,2020,5919
36060 Vilagarcía de Arousa,Total,2020,37565
36061 Vilanova de Arousa,Total,2020,10239
